序号,节点ID,节点类型,文件名,状态,下载链接,镜像链接,搜索链接
1,89,UpscaleModelLoader,4xRealWebPhoto_v4_dat2.pth,已处理,https://huggingface.co/Phips/4xRealWebPhoto_v4_dat2,https://hf-mirror.com/Phips/4xRealWebPhoto_v4_dat2,
2,251,Upscale Model Loader,4x_NMKD-Superscale-SP_178000_G,已处理,https://huggingface.co/uwg/upscaler/resolve/main/ESRGAN/4x_NMKD-Superscale-SP_178000_G.pth,https://hf-mirror.com/uwg/upscaler/resolve/main/ESRGAN/4x_NMKD-Superscale-SP_178000_G.pth,
3,240,LoraLoader,AIFLOW-商业改造设计_V2.0,已处理,,,https://www.liblib.art/modelinfo/0e9575260caf48a5a9828f86d17d24b1
4,49,LoraLoaderModelOnly,AWPortrait CN_1.0.safetensors,已处理,https://huggingface.co/jackzheng/flux-fill-FP8/resolve/main/AWPortrait%20CN_1.0.safetensors,https://hf-mirror.com/jackzheng/flux-fill-FP8/resolve/main/AWPortrait%20CN_1.0.safetensors,
5,166,GroundingDinoModelLoader (segment anything),GroundingDINO_SwinB (938MB),已处理,https://huggingface.co/ShilongLiu/GroundingDINO/resolve/main/groundingdino_swinb_cogcoor.pth,https://hf-mirror.com/ShilongLiu/GroundingDINO/resolve/main/groundingdino_swinb_cogcoor.pth,
6,209,IPAdapterUnifiedLoader,PLUS (high strength),已处理,https://huggingface.co/Kwai-Kolors/Kolors-IP-Adapter-Plus,https://hf-mirror.com/Kwai-Kolors/Kolors-IP-Adapter-Plus,
7,214,LoraLoader,QLCD-示范区灌木跌水氛围增加XL_洗图景观细节_1.0,未找到(无链接),,,https://www.bing.com/search?q=site:liblib.art+%22QLCD-示范区灌木跌水氛围增加XL_洗图景观细节_1.0%22
8,100,Upscale Model Loader,RealESRGAN_x2.pth,已处理,https://huggingface.co/ai-forever/Real-ESRGAN/resolve/main/RealESRGAN_x2.pth,https://hf-mirror.com/ai-forever/Real-ESRGAN/resolve/main/RealESRGAN_x2.pth,
9,93,LoraLoader,SDXLrender_v2.0.safetensors,已处理,https://huggingface.co/philz1337x/loras/resolve/main/SDXLrender_v2.0.safetensors,https://hf-mirror.com/philz1337x/loras/resolve/main/SDXLrender_v2.0.safetensors,
10,232,SUPIR_Upscale,SUPIR-v0F.ckpt,已处理,https://huggingface.co/ashleykleynhans/SUPIR/resolve/main/SUPIR-v0F.ckpt,https://hf-mirror.com/ashleykleynhans/SUPIR/resolve/main/SUPIR-v0F.ckpt,
11,8,ControlNetLoader,Shakker-LabsFLUX.1-dev-ControlNet-Union-Pro-2.0.safetensors,已处理,https://huggingface.co/Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro-2.0,https://hf-mirror.com/Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro-2.0,
12,28,ControlNetLoader,Shakker-LabsFLUX.1-dev-ControlNet-Union-Pro.safetensors,已处理,https://huggingface.co/Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro,https://hf-mirror.com/Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro,
13,232,SUPIR_Upscale,XXMix_9realisticSDXL.safetensors,已处理,https://huggingface.co/Simplicity-Ai/XXMix_9realisticSDXL/resolve/main/XXMix_9realisticSDXL.safetensors,https://hf-mirror.com/Simplicity-Ai/XXMix_9realisticSDXL/resolve/main/XXMix_9realisticSDXL.safetensors,
14,170,VAELoader,ae.safetensors,已处理,https://huggingface.co/StableDiffusionVN/Flux/resolve/main/Vae/flux_vae.safetensors,https://hf-mirror.com/StableDiffusionVN/Flux/resolve/main/Vae/flux_vae.safetensors,
15,7,VAELoader,ae.sft,已处理,https://huggingface.co/cocktailpeanut/xulf-dev/resolve/main/ae.sft,https://hf-mirror.com/cocktailpeanut/xulf-dev/resolve/main/ae.sft,
16,6,DualCLIPLoader,clip_l.safetensors,已处理,https://huggingface.co/lllyasviel/flux_text_encoders/resolve/main/clip_l.safetensors,https://hf-mirror.com/lllyasviel/flux_text_encoders/resolve/main/clip_l.safetensors,
17,80,ControlNetLoader,control_v11f1e_sd15_tile.pth,已处理,https://huggingface.co/lllyasviel/ControlNet-v1-1/resolve/main/control_v11f1e_sd15_tile.pth,https://hf-mirror.com/lllyasviel/ControlNet-v1-1/resolve/main/control_v11f1e_sd15_tile.pth,
18,62,UnetLoaderGGUF,flux1-dev-Q8_0.gguf,已处理,https://huggingface.co/city96/FLUX.1-dev-gguf/resolve/main/flux1-dev-Q8_0.gguf,https://hf-mirror.com/city96/FLUX.1-dev-gguf/resolve/main/flux1-dev-Q8_0.gguf,
19,5,UNETLoader,flux1-dev-fp8.safetensors,已处理,https://huggingface.co/Kijai/flux-fp8/resolve/main/flux1-dev-fp8.safetensors,https://hf-mirror.com/Kijai/flux-fp8/resolve/main/flux1-dev-fp8.safetensors,
20,176,UNETLoader,flux1-fill-dev.safetensors,已处理,https://huggingface.co/black-forest-labs/FLUX.1-Fill-dev,https://hf-mirror.com/black-forest-labs/FLUX.1-Fill-dev,
21,17,StyleModelLoader,flux1-redux-dev.safetensors,已处理,https://huggingface.co/black-forest-labs/FLUX.1-Redux-dev,https://hf-mirror.com/black-forest-labs/FLUX.1-Redux-dev,
22,76,CheckpointLoaderSimple,juggernautXL_v9Rundiffusionphoto2.safetensors,已处理,https://huggingface.co/RunDiffusion/Juggernaut-XL-v9/resolve/main/Juggernaut-XL_v9_RunDiffusionPhoto_v2.safetensors,https://hf-mirror.com/RunDiffusion/Juggernaut-XL-v9/resolve/main/Juggernaut-XL_v9_RunDiffusionPhoto_v2.safetensors,
23,163,SAMModelLoader (segment anything),sam_vit_h (2.56GB),已处理,https://huggingface.co/HCMUE-Research/SAM-vit-h/resolve/main/sam_vit_h_4b8939.pth,https://hf-mirror.com/HCMUE-Research/SAM-vit-h/resolve/main/sam_vit_h_4b8939.pth,
24,9,CLIPVisionLoader,sigclip_vision_patch14_384.safetensors,已处理,https://huggingface.co/Comfy-Org/sigclip_vision_384/resolve/main/sigclip_vision_patch14_384.safetensors,https://hf-mirror.com/Comfy-Org/sigclip_vision_384/resolve/main/sigclip_vision_patch14_384.safetensors,
25,207,ControlNetLoader,t2i-adapter_diffusers_xl_lineart,已处理,https://huggingface.co/lllyasviel/sd_control_collection/resolve/7cf256327b341fedc82e00b0d7fb5481ad693210/t2i-adapter_diffusers_xl_lineart.safetensors,https://hf-mirror.com/lllyasviel/sd_control_collection/resolve/7cf256327b341fedc82e00b0d7fb5481ad693210/t2i-adapter_diffusers_xl_lineart.safetensors,
26,175,DualCLIPLoader,t5xxl_fp8_e4m3fn.safetensors,已处理,https://huggingface.co/lllyasviel/flux_text_encoders/resolve/main/t5xxl_fp8_e4m3fn.safetensors,https://hf-mirror.com/lllyasviel/flux_text_encoders/resolve/main/t5xxl_fp8_e4m3fn.safetensors,
27,6,DualCLIPLoader,t5xxl_fp8_e4m3fn_2.safetensors,已处理,https://huggingface.co/lllyasviel/flux_text_encoders/resolve/main/t5xxl_fp8_e4m3fn.safetensors,https://hf-mirror.com/lllyasviel/flux_text_encoders/resolve/main/t5xxl_fp8_e4m3fn.safetensors,
28,82,VAELoader,vae-ft-mse-840000-ema-pruned.safetensors,已处理,https://huggingface.co/stabilityai/sd-vae-ft-mse-original/resolve/main/vae-ft-mse-840000-ema-pruned.safetensors,https://hf-mirror.com/stabilityai/sd-vae-ft-mse-original/resolve/main/vae-ft-mse-840000-ema-pruned.safetensors,
29,220,ControlNetLoader,xinsir_controlnet-canny-sdxl_V2,已处理,https://huggingface.co/xinsir/controlnet-canny-sdxl-1.0,https://hf-mirror.com/xinsir/controlnet-canny-sdxl-1.0,
30,216,CheckpointLoaderSimple,元技能-Yuan_SDXL_0.2-建筑室外大模型_Yuan_SDXL_0.2,已处理,,,https://www.liblib.art/modelinfo/464d8c676d944ee4bc7f6b6830a801e1
